ticket_id,date,customer_tier,subject,description,status,resolution
T-0001,2024-01-01,Enterprise,Cannot log in after password reset,Customer reset password but login still fails with invalid credentials error.,open,
T-0002,2024-02-02,Pro,VM stuck in Pending state,Launched a standard-4 instance in eu-west-1; still shows Pending after 5 minutes.,escalated,Capacity was temporarily exhausted in eu-west-1. VM launched after manual intervention by ops team.
T-0003,2024-03-03,Free,SSH connection refused on port 22,Cannot SSH into VM after reboot. Getting 'Connection refused' on port 22.,resolved,Firewall rule for TCP 22 was inadvertently removed. Added rule back via dashboard.
T-0004,2024-04-04,Pro,Volume not mounting after VM reboot,Attached volume /dev/vdb disappears after VM restart. Need to remount manually each time.,escalated,"Added persistent mount entry to /etc/fstab: /dev/vdb /data ext4 defaults,nofail 0 2"
T-0005,2024-05-05,Pro,Account locked after failed login attempts,Customer locked out after 5 failed login attempts. Cannot reset password via email.,resolved,Unlocked account manually. Guided customer through password reset and 2FA setup.
T-0006,2024-06-06,Business,High outbound data transfer charges,Monthly bill is 2x higher than expected. Suspecting unexpected data transfer fees.,resolved,Found misconfigured backup job sending 2TB/day to S3-compatible endpoint. Fixed job config.
T-0007,2024-07-07,Free,GPU instance VRAM lower than spec,gpu-small shows 14.5GB VRAM instead of 16GB as advertised.,open,
T-0008,2024-08-08,Business,Snapshot restore failed,Attempting to restore snapshot snap_149 results in 'Restore failed' error.,resolved,Engineering investigated. Snapshot had filesystem corruption. Customer took new snapshot successfully.
T-0009,2024-09-09,Pro,Cannot connect to VM after firewall rule change,Added a new firewall rule to restrict SSH. Now locked out completely.,resolved,Accessed VM via console and corrected firewall rules. Added a 'allow from admin IP' rule.
T-0010,2024-10-10,Enterprise,VM paused unexpectedly on free tier,Free tier VM paused without warning after 6 days of activity.,escalated,Free tier VMs are paused after 30 days of inactivity. Customer restarted and upgraded to Pro.
T-0011,2024-11-11,Free,Payment method declined,Credit card is being declined on payment form even though card is valid.,open,
T-0012,2024-12-12,Enterprise,Slow disk I/O on Standard SSD volume,Database queries taking 3x longer than expected. Disk throughput appears throttled.,escalated,Standard SSD burst credits were exhausted. Upgraded customer to Performance SSD volume.
T-0013,2024-01-13,Enterprise,"MFA device lost, cannot log in",Lost phone with authenticator app. Cannot use backup codes (also lost).,resolved,Verified identity via out-of-band process. Disabled MFA. Customer re-enrolled on new device.
T-0014,2024-02-14,Business,Kubernetes node not joining cluster,Added new node pool to NKS cluster. Nodes stay in NotReady state.,resolved,Incorrect kubeadm token. Ran 'kubeadm token create' and re-joined nodes. All nodes Ready.
T-0015,2024-03-15,Free,Object storage bucket returns 403,S3-compatible API returns 403 Forbidden on all GET requests to bucket.,escalated,Bucket ACL was set to private. Customer updated bucket policy to allow their service account.
T-0016,2024-04-16,Pro,Load balancer health check failing,Backend VMs are healthy but load balancer shows them as unhealthy.,resolved,Health check path was /healthz but app serves /health. Updated health check path in LB config.
T-0017,2024-05-17,Business,Cannot resize VM - option greyed out,Resize option is greyed out in the dashboard for running VM.,open,
T-0018,2024-06-18,Enterprise,Terraform provider authentication error,Terraform apply fails with: 'invalid API key' even though key is correct.,resolved,API key had trailing newline in the environment variable. Fixed with: export NIRVANA_API_KEY=$(cat key.txt | tr -d '\n')
T-0019,2024-07-19,Pro,DNS record not propagating,Updated A record 33 hours ago but domain still resolves to old IP.,resolved,Old TTL of 86400s was still in effect. Had to wait for TTL expiry. Lowered TTL to 300s going forward.
T-0020,2024-08-20,Free,Requesting refund for unused subscription,Customer cancelled service and wants a prorated refund for 13 unused days.,escalated,"Per refund policy, prorated refund issued for unused days. Credit applied to payment method."
T-0021,2024-09-21,Pro,VPN tunnel keeps dropping,Site-to-site VPN tunnel disconnects every 30 minutes. IKEv2 session expires.,resolved,IKE lifetime mismatch between Nirvana and customer router. Aligned to 28800s / 3600s. Stable since.
T-0022,2024-10-22,Pro,Container image push fails with 401,Docker push to Nirvana Container Registry fails with 'unauthorized' error.,open,
T-0023,2024-11-23,Pro,High CPU alert not triggering,CPU has been at 100% for 20 minutes but no alert was received.,resolved,Alert evaluation window was set to 30 minutes. Customer lowered to 5 minutes. Alert fired correctly.
T-0024,2024-12-24,Business,Invoice shows incorrect company name,Company name on invoice is Nirvana Inc. instead of the legal entity name.,resolved,Updated organisation name in Settings → Profile. Reissued invoice with correct company name.
T-0025,2024-01-25,Enterprise,SSH key rejected on existing VM,Added new SSH public key in settings but cannot log in with it on existing VM.,escalated,SSH keys must be associated at VM creation time. Guided customer to create snapshot and relaunch.
T-0026,2024-02-26,Enterprise,Spot instance interrupted during training,ML training job interrupted due to spot instance reclamation. Lost 4 hours of progress.,resolved,Advised enabling checkpointing every 30 minutes and using a persistent volume for checkpoints.
T-0027,2024-03-27,Pro,Network latency between VMs is high,Ping between two VMs in same region is 80ms. Expected <5ms.,resolved,VMs were in different physical availability zones. Live-migrated one VM. Latency now <1ms.
T-0028,2024-04-28,Enterprise,Webhook not receiving events,Configured webhook endpoint but not receiving any events after 18 hours.,resolved,"Endpoint was returning 500 on Nirvana's test event. After fixing endpoint, events arrived within seconds."
T-0029,2024-05-01,Free,Outbound email from VM being rejected,Emails sent from VM on port 25 are rejected by receiving mail servers.,resolved,Port 25 is blocked by default. Customer switched to port 587 (SMTP submission) via SendGrid relay.
T-0030,2024-06-02,Free,Kubernetes PVC stuck in Pending,PersistentVolumeClaim stays Pending. Pod cannot schedule.,resolved,StorageClass was not set to 'nirvana-block'. Updated PVC manifest with correct storageClassName.
T-0031,2024-07-03,Business,Free tier credit not applied,Account shows $0 credits despite signing up within trial period.,escalated,Credit promotion code was not entered at signup. Applied credit manually after verification.
T-0032,2024-08-04,Free,SSO login loop,"After configuring SAML SSO, login redirects in a loop without completing.",open,
T-0033,2024-09-05,Free,VM shows wrong timezone,System clock on VM is off by 3 hours. Services logging in wrong timezone.,resolved,Guided customer to set timezone: timedatectl set-timezone UTC. Advised using UTC for all servers.
T-0034,2024-10-06,Pro,Object storage upload times out for large files,Uploading files over 10GB times out partway through.,resolved,Switched to multipart upload (aws s3 cp with default multipart threshold). Upload completed successfully.
T-0035,2024-11-07,Business,Auto-scaling not triggering scale-out,CPU consistently above 80% but scaling group is not adding VMs.,escalated,Scaling policy evaluation window was 30 minutes. Lowered to 5 minutes. Scale-out now triggers correctly.
T-0036,2024-12-08,Business,Cannot delete VM - shows error,Attempting to delete VM results in 'resource in use' error.,resolved,"VM had an attached floating IP. Detached floating IP first, then deleted VM successfully."
T-0037,2024-01-09,Business,API rate limit hit unexpectedly,Application receiving 429 responses from Nirvana API during peak hours.,resolved,Application was polling VM status every second. Switched to webhook events. Rate limit no longer hit.
T-0038,2024-02-10,Free,Windows VM cannot activate,Windows Server VM showing activation error after launch.,escalated,Nirvana uses KMS activation on an internal server. Configured Windows KMS client key and pointed to internal KMS.
T-0039,2024-03-11,Enterprise,Requesting P1 escalation for production outage,Production system is completely down. 10 customers affected. Revenue impact.,open,
T-0040,2024-04-12,Pro,Data transfer between regions charged unexpectedly,Expected cross-region transfer to be free but being charged $0.02/GB.,resolved,Cross-region transfer is $0.02/GB per pricing policy. Advised using object storage replication for bulk transfers.
T-0041,2024-05-13,Enterprise,Cannot enable IPv6 on existing VPC,Option to enable IPv6 is greyed out on an existing VPC.,escalated,IPv6 can only be enabled on VPCs created after June 2024. Guided customer to create a new VPC with IPv6 enabled.
T-0042,2024-06-14,Enterprise,Cannot log in after password reset,Customer reset password but login still fails with invalid credentials error.,resolved,Cleared auth cache and guided customer to log in via incognito window. Resolved.
T-0043,2024-07-15,Free,VM stuck in Pending state,Launched a standard-8 instance in us-east-1; still shows Pending after 10 minutes.,resolved,Capacity was temporarily exhausted in us-east-1. VM launched after manual intervention by ops team.
T-0044,2024-08-16,Free,SSH connection refused on port 22,Cannot SSH into VM after reboot. Getting 'Connection refused' on port 22.,resolved,Firewall rule for TCP 22 was inadvertently removed. Added rule back via dashboard.
T-0045,2024-09-17,Enterprise,Volume not mounting after VM reboot,Attached volume /dev/vdb disappears after VM restart. Need to remount manually each time.,escalated,"Added persistent mount entry to /etc/fstab: /dev/vdb /data ext4 defaults,nofail 0 2"
T-0046,2024-10-18,Business,Account locked after failed login attempts,Customer locked out after 5 failed login attempts. Cannot reset password via email.,open,
T-0047,2024-11-19,Free,High outbound data transfer charges,Monthly bill is 3x higher than expected. Suspecting unexpected data transfer fees.,open,
T-0048,2024-12-20,Business,GPU instance VRAM lower than spec,gpu-small shows 15GB VRAM instead of 16GB as advertised.,resolved,1GB is reserved per GPU for ECC error correction. Documentation updated to clarify.
T-0049,2024-01-21,Business,Snapshot restore failed,Attempting to restore snapshot snap_436 results in 'Restore failed' error.,resolved,Engineering investigated. Snapshot had filesystem corruption. Customer took new snapshot successfully.
T-0050,2024-02-22,Free,Cannot connect to VM after firewall rule change,Added a new firewall rule to restrict SSH. Now locked out completely.,resolved,Accessed VM via console and corrected firewall rules. Added a 'allow from admin IP' rule.
T-0051,2024-03-23,Enterprise,VM paused unexpectedly on free tier,Free tier VM paused without warning after 23 days of activity.,resolved,Free tier VMs are paused after 30 days of inactivity. Customer restarted and upgraded to Pro.
T-0052,2024-04-24,Pro,Payment method declined,Credit card is being declined on payment form even though card is valid.,escalated,Card processor flagged transaction as suspicious. Customer tried a different card successfully.
T-0053,2024-05-25,Business,Slow disk I/O on Standard SSD volume,Database queries taking 10x longer than expected. Disk throughput appears throttled.,resolved,Standard SSD burst credits were exhausted. Upgraded customer to Performance SSD volume.
T-0054,2024-06-26,Pro,"MFA device lost, cannot log in",Lost phone with authenticator app. Cannot use backup codes (also lost).,open,
T-0055,2024-07-27,Pro,Kubernetes node not joining cluster,Added new node pool to NKS cluster. Nodes stay in NotReady state.,open,
T-0056,2024-08-28,Free,Object storage bucket returns 403,S3-compatible API returns 403 Forbidden on all GET requests to bucket.,resolved,Bucket ACL was set to private. Customer updated bucket policy to allow their service account.
T-0057,2024-09-01,Free,Load balancer health check failing,Backend VMs are healthy but load balancer shows them as unhealthy.,open,
T-0058,2024-10-02,Free,Cannot resize VM - option greyed out,Resize option is greyed out in the dashboard for running VM.,resolved,VM must be stopped before resizing. Guided customer through stop → resize → start workflow.
T-0059,2024-11-03,Pro,Terraform provider authentication error,Terraform apply fails with: 'invalid API key' even though key is correct.,resolved,API key had trailing newline in the environment variable. Fixed with: export NIRVANA_API_KEY=$(cat key.txt | tr -d '\n')
T-0060,2024-12-04,Pro,DNS record not propagating,Updated A record 21 hours ago but domain still resolves to old IP.,resolved,Old TTL of 86400s was still in effect. Had to wait for TTL expiry. Lowered TTL to 300s going forward.
T-0061,2024-01-05,Business,Requesting refund for unused subscription,Customer cancelled service and wants a prorated refund for 26 unused days.,resolved,"Per refund policy, prorated refund issued for unused days. Credit applied to payment method."
T-0062,2024-02-06,Enterprise,VPN tunnel keeps dropping,Site-to-site VPN tunnel disconnects every 15 minutes. IKEv2 session expires.,resolved,IKE lifetime mismatch between Nirvana and customer router. Aligned to 28800s / 3600s. Stable since.
T-0063,2024-03-07,Pro,Container image push fails with 401,Docker push to Nirvana Container Registry fails with 'unauthorized' error.,resolved,API key used for auth had expired. Generated new key and re-ran 'docker login'.
T-0064,2024-04-08,Enterprise,High CPU alert not triggering,CPU has been at 100% for 20 minutes but no alert was received.,open,
